,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
2521,사당제3동,행신2동,126.9734908,37.4845247,126.8330498,37.6151731,사당제3동행신2동,26135,3435.91,24890
2522,독산제1동,장항2동,126.897041,37.4702453,126.7783329,37.649886,독산제1동장항2동,34344,4131.552,36190
2523,고척제1동,구로제2동,126.8628603,37.5004631,126.8834703,37.491377,고척제1동구로제2동,3378,654.388,5000
2524,대림제3동,영등포본동,126.8980312,37.4983347,126.9093046,37.5146826,대림제3동영등포본동,3269,650.111,5000
2525,방화제3동,신월5동,126.8135628,37.5787386,126.8271621,37.5386227,방화제3동신월5동,5823,1509.622,8200
2526,상계8동,일산2동,127.0515874,37.6667854,126.7772051,37.6846227,상계8동일산2동,36073,2926.556,35810
2527,수서동,구의제2동,127.104929,37.4889181,127.0899111,37.5472481,수서동구의제2동,11746,1909.905,12900
2528,상계1동,방학제2동,127.0549781,37.6799006,127.0351005,37.6681842,상계1동방학제2동,3490,795.948,5000
2529,등촌제3동,서초4동,126.847881,37.5589789,127.0221589,37.5026685,등촌제3동서초4동,19809,2888.649,19900
2530,홍은제2동,한강로동,126.9342509,37.5801972,126.9692332,37.5281071,홍은제2동한강로동,17013,2277.925,16000
2531,성내제3동,연희동,127.13287,37.5260101,126.9351754,37.5739083,성내제3동연희동,31927,4255.985,30600
2532,구로제2동,고척제1동,126.8834703,37.491377,126.8628603,37.5004631,구로제2동고척제1동,3618,1173.028,6200
2533,왕십리도선동,수궁동,127.0255501,37.5678257,126.8314627,37.4939422,왕십리도선동수궁동,33400,5539.636,33700
2534,번제1동,중계2.3동,127.0288473,37.6378913,127.0687126,37.6421829,번제1동중계2.3동,5003,1132.877,7600
2535,신대방제1동,구의제2동,126.91005,37.488943,127.0899111,37.5472481,신대방제1동구의제2동,23680,4176.267,22500
2536,대림제1동,구의제2동,126.905818,37.4954685,127.0899111,37.5472481,대림제1동구의제2동,23490,4032.559,22200
2537,성수2가제1동,행당제1동,127.0540659,37.5395907,127.036188,37.558567,성수2가제1동행당제1동,3499,664.286,4900
2538,수서동,삼성1동,127.104929,37.4889181,127.062532,37.5144424,수서동삼성1동,5992,965.221,7600
2539,신내1동,상봉제2동,127.099538,37.605882,127.0808518,37.592892,신내1동상봉제2동,2951,787.072,5000
2540,일원1동,영등포동,127.0879629,37.491839,126.9106918,37.5203985,일원1동영등포동,26880,4234.927,26500
2541,하계2동,당산제2동,127.0679733,37.6320048,126.8973273,37.5310483,하계2동당산제2동,26878,3695.704,25700
2542,화곡제6동,양촌면,126.8501301,37.5518173,126.6254268,37.6572063,화곡제6동양촌면,27349,2844.612,27150
2543,목1동,장충동,126.8712323,37.5303777,127.0078812,37.5618946,목1동장충동,22045,3105.381,22100
2544,시흥제2동,안양1동,126.9148345,37.4495487,126.9259084,37.3989921,시흥제2동안양1동,8108,1110.575,10010
2545,가양제2동,은천동,126.8512826,37.5673763,126.9424278,37.4853086,가양제2동은천동,18149,2340.999,17700
