start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
신정7동,명동,126.8597007,37.514393,126.98585,37.560042,신정7동명동,14749,2502.277,16400
회기동,목4동,127.0553132,37.5908083,126.86835,37.532425,회기동목4동,23116,2851.957,21600
목1동,신정7동,126.8712323,37.5303777,126.8597007,37.514393,목1동신정7동,3155,425.458,4600
세곡동,개포2동,127.1043555,37.4643683,127.0689523,37.4897723,세곡동개포2동,7575,857.893,8300
응암제1동,남영동,126.926813,37.6006884,126.9748403,37.5457586,응암제1동남영동,8465,1917.456,10400
한강로동,사당제1동,126.9692332,37.5281071,126.9786682,37.4830639,한강로동사당제1동,7262,953.775,8100
월계3동,한강로동,127.0692485,37.6210475,126.9692332,37.5281071,월계3동한강로동,19524,2460.902,17400
북아현동,목2동,126.957025,37.5595,126.8717128,37.5461131,북아현동목2동,11422,1074.004,11100
석촌동,판교동,127.1037,37.503592,127.0986189,37.389844,석촌동판교동,16023,1784.042,16390
도봉제2동,전농제2동,127.046575,37.669751,127.0600375,37.5781027,도봉제2동전농제2동,12444,1964.936,12200
상계2동,상계6.7동,127.0678377,37.6574727,127.0669541,37.654882,상계2동상계6.7동,1773,334.898,3800
가양제1동,화정1동,126.8447099,37.5695239,126.8335106,37.6446876,가양제1동화정1동,16292,1353.906,17090
구로제4동,독산제1동,126.8891697,37.4916271,126.897041,37.4702453,구로제4동독산제1동,3522,636.707,4900
신정7동,일원본동,126.8597007,37.514393,127.0864633,37.4833484,신정7동일원본동,28216,3498.062,27600
수서동,잠실3동,127.104929,37.4889181,127.094375,37.513333,수서동잠실3동,4804,547.9,6100
대방동,남영동,126.92635,37.508133,126.9748403,37.5457586,대방동남영동,7102,869.346,8000
월계1동,월계2동,127.0630165,37.6199197,127.0508,37.6325377,월계1동월계2동,3577,596.763,5000
홍제제2동,양주1동,126.949338,37.586107,127.0437813,37.7732673,홍제제2동양주1동,26932,2840.382,26110
갈현제2동,역촌동,126.9158385,37.6185866,126.915114,37.6044046,갈현제2동역촌동,1990,387.683,3800
둔촌제2동,숭인제2동,127.1419221,37.5332885,127.019988,37.574867,둔촌제2동숭인제2동,12366,1647.769,12300
둔촌제2동,교문1동,127.1419221,37.5332885,127.127737,37.601215,둔촌제2동교문1동,10628,1237.678,11490
도봉제2동,중계4동,127.046575,37.669751,127.0780091,37.6587275,도봉제2동중계4동,4146,810.79,6100
신정3동,목4동,126.8547892,37.5151685,126.86835,37.532425,신정3동목4동,4378,666.29,5700
삼각산동,하계1동,127.0207209,37.6151568,127.0725852,37.6405374,삼각산동하계1동,8768,1507.589,10600
신촌동,상도제1동,126.9418114,37.5640923,,,신촌동상도제1동,0,0.0,0
