,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
4228,신당3동,신촌동,127.0090022,37.552479,126.9418114,37.5640923,신당3동신촌동,9300,1500,0
4257,신당4동,우이동,127.014687,37.557083,127.0118533,37.6479523,신당4동우이동,12000,2640,0
4267,신사제1동,신당3동,126.9117735,37.5978445,127.0090022,37.552479,신사제1동신당3동,22000,2100,0
4296,암사제3동,답십리3동,127.1408249,37.5549912,127.0512678,37.5717963,암사제3동답십리3동,11000,1320,0
4361,신당2동,삼성동,127.0082322,37.5542861,127.062532,37.5144424,신당2동삼성동,8600,1320,0
4402,답십리3동,사근동,127.0512678,37.5717963,127.0453315,37.5614846,답십리3동사근동,2300,600,0
4417,면목3.8동,회기동,127.0880603,37.5829681,127.0553132,37.5908083,면목3.8동회기동,5500,780,0
4457,신당4동,명동,127.014687,37.557083,126.98585,37.560042,신당4동명동,4200,720,0
4475,장안2동,상일동,127.0706,37.578483,127.1683007,37.550583,장안2동상일동,13000,1200,0
4494,월계3동,면목3.8동,127.0692485,37.6210475,127.0880603,37.5829681,월계3동면목3.8동,7400,840,0
4504,답십리4동,청운효자동,127.06125,37.567417,126.9706519,37.5841367,답십리4동청운효자동,10000,1620,0
4587,상도1동,원천동,126.953089,37.4981,127.0532171,37.2734789,상도1동원천동,40000,2880,0
4590,명륜3가,용두동,126.9931,37.5875,127.0372011,37.5758884,명륜3가용두동,6100,1080,0
4632,장안1동,안암동,127.066375,37.567842,127.0213292,37.5858498,장안1동안암동,6700,960,0
4642,신당1동,왕십리제2동,127.0145478,37.5620973,127.0310207,37.5617987,신당1동왕십리제2동,2200,540,0
4652,상도1동,번제2동,126.953089,37.4981,127.0387953,37.6323588,상도1동번제2동,26000,2820,0
4670,공릉1.3동,장안1동,127.073838,37.624874,127.066375,37.567842,공릉1.3동장안1동,8000,1140,0
4701,방화제3동,상도1동,126.8135628,37.5787386,126.953089,37.4981,방화제3동상도1동,19000,1620,0
4703,명륜3가,청파동,126.9931,37.5875,126.9674,37.5488,명륜3가청파동,7200,1200,0
4731,답십리3동,이화동,127.0512678,37.5717963,127.004338,37.577008,답십리3동이화동,5100,900,0
4768,을지로동,신당6동,126.9913342,37.5667163,127.0194239,37.5600562,을지로동신당6동,3600,720,0
4780,면목3.8동,신내1동,127.0880603,37.5829681,127.099538,37.605882,면목3.8동신내1동,3800,780,0
4795,강일동,제기동,127.173909,37.5649783,127.0378551,37.5831612,강일동제기동,17000,1860,0
4797,회현동,면목3.8동,126.9793216,37.5572864,127.0880603,37.5829681,회현동면목3.8동,15000,2220,0
4810,면목3.8동,중계4동,127.0880603,37.5829681,127.0780091,37.6587275,면목3.8동중계4동,11000,1500,0
4835,제기동,구의제1동,127.0378551,37.5831612,127.0856756,37.5424917,제기동구의제1동,7800,1200,0
4859,가산동,상도1동,126.8917326,37.4769094,126.953089,37.4981,가산동상도1동,8100,1260,0
4868,신당3동,잠실2동,127.0090022,37.552479,127.088559,37.5119488,신당3동잠실2동,12000,1320,0
4873,신당3동,아현동,127.0090022,37.552479,126.95215,37.547125,신당3동아현동,8300,1320,0
4889,신당6동,상도제3동,127.0194239,37.5600562,126.9313793,37.4991123,신당6동상도제3동,14000,2040,0
4919,상도1동,방화제1동,126.953089,37.4981,126.817026,37.5703659,상도1동방화제1동,20000,2340,0
5007,남영동,김포본동,126.9748403,37.5457586,126.7057,37.6275987,남영동김포본동,31000,2760,0
5011,신당1동,방화제1동,127.0145478,37.5620973,126.817026,37.5703659,신당1동방화제1동,29000,2340,0
5042,상봉제1동,면목3.8동,127.0872004,37.5998799,127.0880603,37.5829681,상봉제1동면목3.8동,2200,600,0
5059,서교동,면목3.8동,126.914588,37.5551015,127.0880603,37.5829681,서교동면목3.8동,24000,2160,0
5079,답십리4동,서빙고동,127.06125,37.567417,126.994663,37.520458,답십리4동서빙고동,12000,1200,0
5083,천호제2동,상도1동,127.1254351,37.5435257,126.953089,37.4981,천호제2동상도1동,24000,2220,0
5100,제기동,숭인제2동,127.0378551,37.5831612,127.019988,37.574867,제기동숭인제2동,2200,420,0
5150,등촌제3동,제기동,126.847881,37.5589789,127.0378551,37.5831612,등촌제3동제기동,23000,1980,0
5157,석관동,상도1동,127.061413,37.612957,126.953089,37.4981,석관동상도1동,23000,1860,0
5171,상도제4동,상도1동,126.941422,37.4994203,126.953089,37.4981,상도제4동상도1동,2100,540,0
5192,이화동,면목3.8동,127.004338,37.577008,127.0880603,37.5829681,이화동면목3.8동,12000,1800,0
5194,종로5.6가동,장안1동,127.0050414,37.5720148,127.066375,37.567842,종로5.6가동장안1동,7300,1320,0
5235,남영동,면목3.8동,126.9748403,37.5457586,127.0880603,37.5829681,남영동면목3.8동,17000,1980,0
5271,전농3동,신촌동,127.0600375,37.5781027,126.9418114,37.5640923,전농3동신촌동,12000,1860,0
5299,면목3.8동,회현동,127.0880603,37.5829681,126.9793216,37.5572864,면목3.8동회현동,12000,2100,0
5306,상도1동,등촌제3동,126.953089,37.4981,126.847881,37.5589789,상도1동등촌제3동,15000,2220,0
5308,도봉제1동,면목3.8동,127.0434369,37.6786913,127.0880603,37.5829681,도봉제1동면목3.8동,15000,1380,0
5380,신당1동,대조동,127.0145478,37.5620973,126.920813,37.614165,신당1동대조동,20000,2340,0
5384,상도1동,수서동,126.953089,37.4981,127.104929,37.4889181,상도1동수서동,20000,1740,0
5387,제기동,구의제2동,127.0378551,37.5831612,127.0899111,37.5472481,제기동구의제2동,7200,1140,0
5414,명륜3가,신촌동,126.9931,37.5875,126.9418114,37.5640923,명륜3가신촌동,7500,960,0
5428,이문3동,도곡1동,127.065075,37.6033571,127.0390246,37.488238,이문3동도곡1동,22000,2100,0
5449,답십리3동,소공동,127.0512678,37.5717963,126.977025,37.562442,답십리3동소공동,8200,1560,0
5495,제기동,공릉2동,127.0378551,37.5831612,127.083488,37.621332,제기동공릉2동,9400,1680,0
5523,불광제2동,흥선동,126.9257389,37.6208567,127.0306961,37.7463446,불광제2동흥선동,19000,1800,0
5535,이문3동,송산1동,127.065075,37.6033571,127.0866851,37.7311817,이문3동송산1동,19000,1800,0
5536,명륜3가,충현동,126.9931,37.5875,126.9546863,37.5648265,명륜3가충현동,6400,1140,0
5545,등촌제3동,제기동,126.847881,37.5589789,127.0378551,37.5831612,등촌제3동제기동,23000,1980,0
5557,노량진제1동,제기동,126.942013,37.512308,127.0378551,37.5831612,노량진제1동제기동,17000,1920,0
5567,혜화동,신당4동,127.0005764,37.5869186,127.014687,37.557083,혜화동신당4동,5000,1020,0
5571,상도1동,서초2동,126.953089,37.4981,127.02496,37.49208,상도1동서초2동,10000,1260,0
5609,상계8동,답십리3동,127.0515874,37.6667854,127.0512678,37.5717963,상계8동답십리3동,16000,1380,0
5610,신당4동,성북동,127.014687,37.557083,127.0032875,37.5911237,신당4동성북동,5500,1140,0
5614,한남동,신당1동,127.0005,37.53455,127.0145478,37.5620973,한남동신당1동,3900,720,0
5652,신당2동,청운효자동,127.0082322,37.5542861,126.9706519,37.5841367,신당2동청운효자동,6600,1200,0
5660,신당3동,천연동,127.0090022,37.552479,126.9590332,37.5711247,신당3동천연동,6800,1260,0
5662,면목3.8동,한강로동,127.0880603,37.5829681,126.9692332,37.5281071,면목3.8동한강로동,18000,1620,0
5684,신당4동,송천동,127.014687,37.557083,127.023838,37.618282,신당4동송천동,8500,1740,0
5686,면목3.8동,대방동,127.0880603,37.5829681,126.92635,37.508133,면목3.8동대방동,23000,2100,0
5742,구의제1동,이문3동,127.0856756,37.5424917,127.065075,37.6033571,구의제1동이문3동,9600,1380,0
5778,신당3동,도봉제1동,127.0090022,37.552479,127.0434369,37.6786913,신당3동도봉제1동,23000,2700,0
5817,면목3.8동,영등포동,127.0880603,37.5829681,126.9106918,37.5203985,면목3.8동영등포동,23000,1920,0
5843,명륜3가,종로5.6가동,126.9931,37.5875,127.0050414,37.5720148,명륜3가종로5.6가동,3400,600,0
5850,전농3동,자양제3동,127.0600375,37.5781027,127.072913,37.533842,전농3동자양제3동,11000,1140,0
5867,이문3동,소공동,127.065075,37.6033571,126.977025,37.562442,이문3동소공동,11000,1920,0
5868,신당6동,마장동,127.0194239,37.5600562,127.045388,37.566325,신당6동마장동,3900,780,0
5870,명륜3가,제기동,126.9931,37.5875,127.0378551,37.5831612,명륜3가제기동,6200,1200,0
5871,면목본동,이문3동,127.0874227,37.5873592,127.065075,37.6033571,면목본동이문3동,4700,660,0
5876,역삼1동,상도1동,127.0333574,37.4954841,126.953089,37.4981,역삼1동상도1동,9600,1740,0
5944,방배3동,김포본동,126.9999918,37.4784409,126.7057,37.6275987,방배3동김포본동,36000,2820,0
5970,장안2동,와부읍,127.0706,37.578483,127.2167005,37.5853734,장안2동와부읍,15000,1440,0
5982,장안1동,공릉1.3동,127.066375,37.567842,127.073838,37.624874,장안1동공릉1.3동,8000,1260,0
6002,전농2동,신당6동,127.0600375,37.5781027,127.0194239,37.5600562,전농2동신당6동,4800,960,0
6004,답십리4동,필동,127.06125,37.567417,126.9955699,37.5601529,답십리4동필동,8100,1380,0
6043,전농3동,구의제2동,127.0600375,37.5781027,127.0899111,37.5472481,전농3동구의제2동,6500,1020,0
6079,장안1동,사근동,127.066375,37.567842,127.0453315,37.5614846,장안1동사근동,3900,660,0
6145,화양동,장안2동,127.0713152,37.5465421,127.0706,37.578483,화양동장안2동,5700,840,0
6147,답십리3동,월계1동,127.0512678,37.5717963,127.0630165,37.6199197,답십리3동월계1동,8100,1200,0
6151,이문3동,용두동,127.065075,37.6033571,127.0372011,37.5758884,이문3동용두동,5200,900,0
6223,대흥동,신당3동,126.9424619,37.5557827,127.0090022,37.552479,대흥동신당3동,9300,1320,0
6233,상도1동,흑석동,126.953089,37.4981,126.966612,37.5058617,상도1동흑석동,1900,360,0
6253,송중동,면목3.8동,127.033738,37.616099,127.0880603,37.5829681,송중동면목3.8동,12000,1500,0
6276,세곡동,신당3동,127.1043555,37.4643683,127.0090022,37.552479,세곡동신당3동,19000,1680,0
6281,장안1동,마장동,127.066375,37.567842,127.045388,37.566325,장안1동마장동,3100,540,0
6289,대조동,전농3동,126.920813,37.614165,127.0600375,37.5781027,대조동전농3동,21000,2100,0
6296,서교동,상도1동,126.914588,37.5551015,126.953089,37.4981,서교동상도1동,11000,1260,0
6298,번제3동,제기동,127.04665,37.625874,127.0378551,37.5831612,번제3동제기동,5900,960,0
