,direction
전농제3동전농제2동,2
답십리제4동화곡제4동,2
혜화동면목제3.8동,2
신당제3동옥수동,2
장안제3동장위제1동,2
장안제3동중계2.3동,2
상도제1동숭인제2동,2
상도제1동잠원동,2
장안제4동한강로동,2
이촌제1동상도제1동,2
성수2가제1동신당제2동,2
장안제3동이화동,2
전농제3동여의동,2
장안제4동이화동,2
여의동전농제3동,2
면목제4동제기제2동,2
신당제3동전농제3동,2
답십리제4동신정3동,2
하계1동답십리제4동,2
신당제3동오금동,2
상봉제2동전농제3동,2
답십리제2동답십리제3동,2
이문제3동고덕제1동,2
하계1동면목제3.8동,2
회현동김포1동,2
면목제3.8동숭인제2동,2
제기제1동장안제1동,2
제기제1동방화제3동,2
방화제2동신도동,2
신내2동이문제3동,2
답십리제1동제기제2동,2
명륜3가동신설동,2
이문제3동청량리동,2
성현동신당제4동,2
화곡제6동김포2동,2
장안제3동별내면,2
시흥제1동제기제1동,2
발산제1동제기제1동,2
삼각산동면목제3.8동,2
문정2동김포2동,2
답십리제3동춘궁동,2
홍제제1동신당제4동,2
답십리제4동상계6.7동,2
녹번동신당제3동,2
신당제2동응봉동,2
신정2동제기제1동,1
방화제1동가능1동,1
신당제6동왕십리제2동,1
중곡제2동제기제1동,1
상도제1동소공동,1
신당제6동황학동,1
연남동상도제1동,1
대림제2동전농제3동,1
장안제3동창제5동,1
신사제1동면목제3.8동,1
신당제1동삼성2동,1
면목제3.8동등촌제3동,1
신당제5동면목제3.8동,1
상도제1동후암동,1
상도제1동신길제5동,1
답십리제4동용두동,1
장안제4동금호4가동,1
상도제3동신당제2동,1
풍무동신당제3동,1
답십리제3동황학동,1
구의제1동면목제3.8동,1
신당제1동구의제3동,1
후암동상도제1동,1
후암동신당제1동,1
신당제3동영등포동,1
신림동상도제1동,1
대조동상도제1동,1
당산제1동상도제1동,1
종로1.2.3.4가동김포1동,1
면목제3.8동대림제2동,1
서강동신당제3동,1
장안제3동조안면,1
전농제3동신길제4동,1
대치4동이문제3동,1
사당제2동가능3동,1
수궁동답십리제3동,1
장안제4동장충동,1
신당제3동삼청동,1
신월6동김포2동,1
상도제1동신길제1동,1
세곡동제기제2동,1
제기제1동세곡동,1
상도제1동전농제2동,1
은천동신당제4동,1
상도제1동방배1동,1
중계2.3동신당제1동,1
신당제3동숭인제1동,1
면목제3.8동안암동,1
제기제2동성내제3동,1
일원2동전농제3동,1
이문제3동상일동,1
행운동상도제1동,1
전농제3동사근동,1
묵제1동장안제3동,1
신당제3동석수2동,1
이문제3동장항2동,1
장안제3동장안제4동,1
이문제3동일원1동,1
전농제2동제기제2동,1
면목제3.8동전농제3동,1
구의제2동장안제4동,1
천호제2동김포1동,1
신당제1동용두동,1
장안제3동범박동,1
중림동신당제6동,1
답십리제4동홍제제2동,1
면목제3.8동대림제3동,1
인헌동상도제1동,1
제기제1동장안제3동,1
가양제2동면목제3.8동,1
신당제6동종로1.2.3.4가동,1
장안제4동전농제1동,1
전농제1동장안제4동,1
광희동명륜3가동,1
신당제4동송중동,1
상도제1동서초1동,1
장안제4동진접읍,1
홍제제1동신도동,1
목3동검단4동,1
도봉제2동신당제1동,1
수궁동제기제2동,1
공릉1.3동김포1동,1
면목제3.8동풍납1동,1
신설동신당제2동,1
신당제1동상계1동,1
상도제1동안암동,1
풍납1동면목제3.8동,1
신당제2동오금동,1
상도제1동화전동,1
화곡본동신도동,1
정릉제1동장안제4동,1
답십리제4동중곡제2동,1
가양제1동제기제1동,1
상도제1동삼각산동,1
신당제6동상일동,1
상도제1동노량진제2동,1
면목제3.8동용답동,1
답십리제4동길동,1
상도제1동면목제4동,1
일원본동제기제2동,1
고척제2동명륜3가동,1
월계1동제기제1동,1
명동제기제1동,1
제기제2동일원본동,1
면목제3.8동상계6.7동,1
면목제3.8동수진2동,1
이문제3동관양2동,1
신당제2동일원본동,1
삼성2동제기제2동,1
제기제2동삼선동,1
숭인제1동신당제1동,1
신당제1동구의제1동,1
전농제3동신내1동,1
신당제4동자금동,1
면목제3.8동행당제2동,1
장안제4동안암동,1
답십리제4동심곡본동,1
신대방제1동상도제1동,1
장안제4동이문제3동,1
용두동장안제4동,1
신당제4동전농제2동,1
제기제1동둔촌제2동,1
진관동신당제4동,1
답십리제4동중계2.3동,1
신정6동상도제1동,1
이문제3동영등포동,1
신설동이문제3동,1
신당제3동거여1동,1
면목제3.8동서초4동,1
화곡제6동제기제1동,1
장안제3동역곡1동,1
면목제3.8동구미1동,1
전농제3동면목제7동,1
면목제3.8동방학제2동,1
휘경제2동전농제3동,1
천호제2동면목제3.8동,1
하계1동신당제4동,1
면목제4동장안제3동,1
면목제3.8동역곡2동,1
홍은제2동상도제1동,1
한강로동김포2동,1
신당제4동옥수동,1
신정7동면목제3.8동,1
상도제1동망원제1동,1
이문제3동상봉제2동,1
대방동상도제1동,1
중계2.3동신당제3동,1
신당제4동용두동,1
신당제3동공항동,1
면목제3.8동진접읍,1
면목제3.8동풍산동,1
암사제1동이문제3동,1
전농제3동중계1동,1
상도제1동거여2동,1
장안제4동면목본동,1
제기제2동면목제4동,1
면목제3.8동여의동,1
상도제1동청파동,1
전농제3동방화제3동,1
거여2동상도제1동,1
전농제3동신설동,1
신당제3동별내면,1
전농제3동제기제2동,1
제기제1동중계4동,1
제기제2동송내1동,1
창제3동신당제2동,1
전농제3동삼성2동,1
제기제1동송내1동,1
일원2동김포1동,1
종로1.2.3.4가동제기제2동,1
행운동제기제1동,1
이문제3동이매1동,1
신당제4동안암동,1
서초3동전농제3동,1
전농제3동신길제1동,1
전농제3동문정2동,1
상도제1동풍산동,1
도화동상도제1동,1
하계2동면목제3.8동,1
풍납2동장안제4동,1
신내2동전농제3동,1
장안제3동공항동,1
이문제3동회현동,1
전농제3동난곡동,1
상도제1동풍무동,1
상계6.7동면목제3.8동,1
면목제3.8동내곡동,1
미아동신당제3동,1
이문제3동휘경제1동,1
상도제4동신당제1동,1
역삼1동전농제3동,1
면목제3.8동성수1가제1동,1
신대방제2동신당제6동,1
제기제2동풍무동,1
영등포동김포1동,1
면목제3.8동행당제1동,1
제기제2동교남동,1
면목제3.8동답십리제2동,1
답십리제4동가산동,1
방학제1동김포1동,1
답십리제2동면목제3.8동,1
전농제3동장안제1동,1
신당제6동반포4동,1
제기제1동오륜동,1
답십리제4동양재2동,1
방이1동신당제1동,1
이문제3동장위제2동,1
신당제3동능동,1
천호제1동답십리제4동,1
등촌제3동신당제1동,1
이문제3동정자3동,1
제기제1동월곡제2동,1
제기제1동당산제1동,1
송산2동장안제4동,1
장안제4동송산2동,1
상도제1동양촌면,1
도봉제1동신당제3동,1
장안제4동왕십리도선동,1
신당제3동양촌면,1
군자동면목제3.8동,1
정릉제4동전농제3동,1
장안제4동별내면,1
신림동신당제4동,1
내곡동답십리제3동,1
상계8동신당제3동,1
면목제3.8동회천4동,1
종로1.2.3.4가동신당제6동,1
이문제3동진관동,1
신당제4동신림동,1
하계2동장안제4동,1
정릉제2동면목제3.8동,1
상도제1동가양제1동,1
제기제1동성산제2동,1
신당제6동왕십리도선동,1
상도제1동원효로제1동,1
창제5동면목제3.8동,1
장안제4동수서동,1
제기제2동등촌제3동,1
천호제3동면목제3.8동,1
답십리제3동용두동,1
회기동면목제3.8동,1
중계4동김포2동,1
전농제3동구로제5동,1
구의제3동면목제3.8동,1
황학동신당제1동,1
상도제1동영종동,1
장위제1동제기제1동,1
신당제6동한남동,1
