,start,end,startlat,startlng,endlat,endlng,direction,sentence,duration,distance
4810,면목3.8동,중계4동,127.0880603,37.5829681,127.0780091,37.6587275,면목3.8동중계4동,면목3.8동에서 중계4동,25,11
4835,제기동,구의제1동,127.0378551,37.5831612,127.0856756,37.5424917,제기동구의제1동,제기동에서 구의제1동,20,7.8
4859,가산동,상도1동,126.8917326,37.4769094,126.953089,37.4981,가산동상도1동,가산동에서 상도1동,21,8.1
4868,신당3동,잠실2동,127.0090022,37.552479,127.088559,37.5119488,신당3동잠실2동,신당3동에서 잠실2동,22,12
4873,신당3동,아현동,127.0090022,37.552479,126.95215,37.547125,신당3동아현동,신당3동에서 아현동,22,8.3
4889,신당6동,상도제3동,127.0194239,37.5600562,126.9313793,37.4991123,신당6동상도제3동,신당6동에서 상도제3동,34,14
4919,상도1동,방화제1동,126.953089,37.4981,126.817026,37.5703659,상도1동방화제1동,상도1동에서 방화제1동,39,20
5007,남영동,김포본동,126.9748403,37.5457586,126.7057,37.6275987,남영동김포본동,남영동에서 김포본동,46,31
5011,신당1동,방화제1동,127.0145478,37.5620973,126.817026,37.5703659,신당1동방화제1동,신당1동에서 방화제1동,39,29
5042,상봉제1동,면목3.8동,127.0872004,37.5998799,127.0880603,37.5829681,상봉제1동면목3.8동,상봉제1동에서 면목3.8동,10,2.2
5059,서교동,면목3.8동,126.914588,37.5551015,127.0880603,37.5829681,서교동면목3.8동,서교동에서 면목3.8동,36,24
5079,답십리4동,서빙고동,127.06125,37.567417,126.994663,37.520458,답십리4동서빙고동,답십리4동에서 서빙고동,20,12
5083,천호제2동,상도1동,127.1254351,37.5435257,126.953089,37.4981,천호제2동상도1동,천호제2동에서 상도1동,37,24
5100,제기동,숭인제2동,127.0378551,37.5831612,127.019988,37.574867,제기동숭인제2동,제기동에서 숭인제2동,7,2.2
5150,등촌제3동,제기동,126.847881,37.5589789,127.0378551,37.5831612,등촌제3동제기동,등촌제3동에서 제기동,33,23
5157,석관동,상도1동,127.061413,37.612957,126.953089,37.4981,석관동상도1동,석관동에서 상도1동,31,23
5171,상도제4동,상도1동,126.941422,37.4994203,126.953089,37.4981,상도제4동상도1동,상도제4동에서 상도1동,9,2.1
5192,이화동,면목3.8동,127.004338,37.577008,127.0880603,37.5829681,이화동면목3.8동,이화동에서 면목3.8동,30,12
5194,종로5.6가동,장안1동,127.0050414,37.5720148,127.066375,37.567842,종로5.6가동장안1동,종로5.6가동에서 장안1동,22,7.3
5235,남영동,면목3.8동,126.9748403,37.5457586,127.0880603,37.5829681,남영동면목3.8동,남영동에서 면목3.8동,33,17
5271,전농3동,신촌동,127.0600375,37.5781027,126.9418114,37.5640923,전농3동신촌동,전농3동에서 신촌동,31,12
5299,면목3.8동,회현동,127.0880603,37.5829681,126.9793216,37.5572864,면목3.8동회현동,면목3.8동에서 회현동,35,12
5306,상도1동,등촌제3동,126.953089,37.4981,126.847881,37.5589789,상도1동등촌제3동,상도1동에서 등촌제3동,37,15
5308,도봉제1동,면목3.8동,127.0434369,37.6786913,127.0880603,37.5829681,도봉제1동면목3.8동,도봉제1동에서 면목3.8동,23,15
5380,신당1동,대조동,127.0145478,37.5620973,126.920813,37.614165,신당1동대조동,신당1동에서 대조동,39,20
5384,상도1동,수서동,126.953089,37.4981,127.104929,37.4889181,상도1동수서동,상도1동에서 수서동,29,20
5387,제기동,구의제2동,127.0378551,37.5831612,127.0899111,37.5472481,제기동구의제2동,제기동에서 구의제2동,19,7.2
5414,명륜3가,신촌동,126.9931,37.5875,126.9418114,37.5640923,명륜3가신촌동,명륜3가에서 신촌동,16,7.5
5428,이문3동,도곡1동,127.065075,37.6033571,127.0390246,37.488238,이문3동도곡1동,이문3동에서 도곡1동,35,22
5449,답십리3동,소공동,127.0512678,37.5717963,126.977025,37.562442,답십리3동소공동,답십리3동에서 소공동,26,8.2
5495,제기동,공릉2동,127.0378551,37.5831612,127.083488,37.621332,제기동공릉2동,제기동에서 공릉2동,28,9.4
5523,불광제2동,흥선동,126.9257389,37.6208567,127.0306961,37.7463446,불광제2동흥선동,불광제2동에서 흥선동,30,19
5535,이문3동,송산1동,127.065075,37.6033571,127.0866851,37.7311817,이문3동송산1동,이문3동에서 송산1동,30,19
5536,명륜3가,충현동,126.9931,37.5875,126.9546863,37.5648265,명륜3가충현동,명륜3가에서 충현동,19,6.4
5545,등촌제3동,제기동,126.847881,37.5589789,127.0378551,37.5831612,등촌제3동제기동,등촌제3동에서 제기동,33,23
5557,노량진제1동,제기동,126.942013,37.512308,127.0378551,37.5831612,노량진제1동제기동,노량진제1동에서 제기동,32,17
5567,혜화동,신당4동,127.0005764,37.5869186,127.014687,37.557083,혜화동신당4동,혜화동에서 신당4동,17,5
5571,상도1동,서초2동,126.953089,37.4981,127.02496,37.49208,상도1동서초2동,상도1동에서 서초2동,21,10
5609,상계8동,답십리3동,127.0515874,37.6667854,127.0512678,37.5717963,상계8동답십리3동,상계8동에서 답십리3동,23,16
5610,신당4동,성북동,127.014687,37.557083,127.0032875,37.5911237,신당4동성북동,신당4동에서 성북동,19,5.5
5614,한남동,신당1동,127.0005,37.53455,127.0145478,37.5620973,한남동신당1동,한남동에서 신당1동,12,3.9
5652,신당2동,청운효자동,127.0082322,37.5542861,126.9706519,37.5841367,신당2동청운효자동,신당2동에서 청운효자동,20,6.6
5660,신당3동,천연동,127.0090022,37.552479,126.9590332,37.5711247,신당3동천연동,신당3동에서 천연동,21,6.8
5662,면목3.8동,한강로동,127.0880603,37.5829681,126.9692332,37.5281071,면목3.8동한강로동,면목3.8동에서 한강로동,27,18
5684,신당4동,송천동,127.014687,37.557083,127.023838,37.618282,신당4동송천동,신당4동에서 송천동,29,8.5
5686,면목3.8동,대방동,127.0880603,37.5829681,126.92635,37.508133,면목3.8동대방동,면목3.8동에서 대방동,35,23
5742,구의제1동,이문3동,127.0856756,37.5424917,127.065075,37.6033571,구의제1동이문3동,구의제1동에서 이문3동,23,9.6
5778,신당3동,도봉제1동,127.0090022,37.552479,127.0434369,37.6786913,신당3동도봉제1동,신당3동에서 도봉제1동,45,23
5817,면목3.8동,영등포동,127.0880603,37.5829681,126.9106918,37.5203985,면목3.8동영등포동,면목3.8동에서 영등포동,32,23
5843,명륜3가,종로5.6가동,126.9931,37.5875,127.0050414,37.5720148,명륜3가종로5.6가동,명륜3가에서 종로5.6가동,10,3.4
5850,전농3동,자양제3동,127.0600375,37.5781027,127.072913,37.533842,전농3동자양제3동,전농3동에서 자양제3동,19,11
5867,이문3동,소공동,127.065075,37.6033571,126.977025,37.562442,이문3동소공동,이문3동에서 소공동,32,11
5868,신당6동,마장동,127.0194239,37.5600562,127.045388,37.566325,신당6동마장동,신당6동에서 마장동,13,3.9
5870,명륜3가,제기동,126.9931,37.5875,127.0378551,37.5831612,명륜3가제기동,명륜3가에서 제기동,20,6.2
5871,면목본동,이문3동,127.0874227,37.5873592,127.065075,37.6033571,면목본동이문3동,면목본동에서 이문3동,11,4.7
5876,역삼1동,상도1동,127.0333574,37.4954841,126.953089,37.4981,역삼1동상도1동,역삼1동에서 상도1동,29,9.6
5944,방배3동,김포본동,126.9999918,37.4784409,126.7057,37.6275987,방배3동김포본동,방배3동에서 김포본동,47,36
5970,장안2동,와부읍,127.0706,37.578483,127.2167005,37.5853734,장안2동와부읍,장안2동에서 와부읍,24,15
5982,장안1동,공릉1.3동,127.066375,37.567842,127.073838,37.624874,장안1동공릉1.3동,장안1동에서 공릉1.3동,21,8
6002,전농2동,신당6동,127.0600375,37.5781027,127.0194239,37.5600562,전농2동신당6동,전농2동에서 신당6동,16,4.8
6004,답십리4동,필동,127.06125,37.567417,126.9955699,37.5601529,답십리4동필동,답십리4동에서 필동,23,8.1
6043,전농3동,구의제2동,127.0600375,37.5781027,127.0899111,37.5472481,전농3동구의제2동,전농3동에서 구의제2동,17,6.5
6079,장안1동,사근동,127.066375,37.567842,127.0453315,37.5614846,장안1동사근동,장안1동에서 사근동,11,3.9
6145,화양동,장안2동,127.0713152,37.5465421,127.0706,37.578483,화양동장안2동,화양동에서 장안2동,14,5.7
6147,답십리3동,월계1동,127.0512678,37.5717963,127.0630165,37.6199197,답십리3동월계1동,답십리3동에서 월계1동,20,8.1
6151,이문3동,용두동,127.065075,37.6033571,127.0372011,37.5758884,이문3동용두동,이문3동에서 용두동,15,5.2
6223,대흥동,신당3동,126.9424619,37.5557827,127.0090022,37.552479,대흥동신당3동,대흥동에서 신당3동,22,9.3
6233,상도1동,흑석동,126.953089,37.4981,126.966612,37.5058617,상도1동흑석동,상도1동에서 흑석동,6,1.9
6253,송중동,면목3.8동,127.033738,37.616099,127.0880603,37.5829681,송중동면목3.8동,송중동에서 면목3.8동,25,12
